fdc_id,wweia_food_category,wweia_food_category_description,full food code description,food_code,keyword,Schema Code,Grandparent
2341028,8412,"Dips, gravies, other sauces","Spinach dip, regular",12350240,Spinach dip,12 Creams and cream substitutes,Dairy
2341029,8412,"Dips, gravies, other sauces","Spinach dip, light",12350245,Spinach dip,12 Creams and cream substitutes,Dairy
2341030,8412,"Dips, gravies, other sauces","Vegetable dip, regular",12350250,Vegetable dip,12 Creams and cream substitutes,Dairy
2341031,8412,"Dips, gravies, other sauces","Vegetable dip, light",12350255,Vegetable dip,12 Creams and cream substitutes,Dairy
2341106,8412,"Dips, gravies, other sauces",White sauce or gravy,13411000,White sauce or gravy,13 Milk desserts and sauces,Dairy
2341186,8412,"Dips, gravies, other sauces",Artichoke dip,14620110,Artichoke dip,14 Cheeses,Dairy
2341187,8412,"Dips, gravies, other sauces",Spinach and artichoke dip,14620115,Spinach and artichoke dip,14 Cheeses,Dairy
2341188,8412,"Dips, gravies, other sauces",Seafood dip,14620130,Seafood dip,14 Cheeses,Dairy
2341189,8412,"Dips, gravies, other sauces",Cheese dip with chili pepper,14620150,Cheese dip with chili pepper,14 Cheeses,Dairy
2341190,8412,"Dips, gravies, other sauces",Cheese dip,14620200,Cheese dip,14 Cheeses,Dairy
2341195,8412,"Dips, gravies, other sauces",Cheese fondue,14630100,Cheese fondue,14 Cheeses,Dairy
2341197,8412,"Dips, gravies, other sauces",Welsh rarebit,14630300,Welsh rarebit,14 Cheeses,Dairy
2341212,8412,"Dips, gravies, other sauces",Cheese sauce,14650100,Cheese sauce,14 Cheeses,Dairy
2341213,8412,"Dips, gravies, other sauces",Alfredo sauce,14650160,Alfredo sauce,14 Cheeses,Dairy
2341214,8412,"Dips, gravies, other sauces",Alfredo sauce with added vegetables,14650165,Alfredo sauce with added vegetables,14 Cheeses,Dairy
2341215,8412,"Dips, gravies, other sauces",Alfredo sauce with meat,14650170,Alfredo sauce with meat,14 Cheeses,Dairy
2341216,8412,"Dips, gravies, other sauces",Alfredo sauce with meat and added vegetables,14650175,Alfredo sauce with meat and added vegetables,14 Cheeses,Dairy
2341217,8412,"Dips, gravies, other sauces",Alfredo sauce with poultry,14650180,Alfredo sauce with poultry,14 Cheeses,Dairy
2341218,8412,"Dips, gravies, other sauces",Alfredo sauce with poultry and added vegetables,14650185,Alfredo sauce with poultry and added vegetables,14 Cheeses,Dairy
2341219,8412,"Dips, gravies, other sauces",Alfredo sauce with seafood,14650190,Alfredo sauce with seafood,14 Cheeses,Dairy
2341220,8412,"Dips, gravies, other sauces",Alfredo sauce with seafood and added vegetables,14650195,Alfredo sauce with seafood and added vegetables,14 Cheeses,Dairy
2342619,8412,"Dips, gravies, other sauces","Gravy, poultry",28500000,Gravy,"28 Frozen meals, soups, gravies",Proteins
2342620,8412,"Dips, gravies, other sauces","Gravy, beef",28500040,Gravy,"28 Frozen meals, soups, gravies",Proteins
2342621,8412,"Dips, gravies, other sauces","Gravy, beef, fat free",28501010,Gravy,"28 Frozen meals, soups, gravies",Proteins
2342622,8412,"Dips, gravies, other sauces","Gravy, poultry, fat free",28501110,Gravy,"28 Frozen meals, soups, gravies",Proteins
2342623,8412,"Dips, gravies, other sauces","Gravy, made with soy sauce",28520000,Gravy,"28 Frozen meals, soups, gravies",Proteins
2342624,8412,"Dips, gravies, other sauces","Gravy, NFS",28520010,Gravy,"28 Frozen meals, soups, gravies",Proteins
2342626,8412,"Dips, gravies, other sauces",Mole sauce,28522000,Mole sauce,"28 Frozen meals, soups, gravies",Proteins
2342875,8412,"Dips, gravies, other sauces","Bean dip, made with refried beans",41205050,Bean dip,41 Legumes,Proteins
2342876,8412,"Dips, gravies, other sauces",Layer dip,41205055,Layer dip,41 Legumes,Proteins
2342877,8412,"Dips, gravies, other sauces","Hummus, plain",41205070,Hummus,41 Legumes,Proteins
2342878,8412,"Dips, gravies, other sauces","Hummus, flavored",41205075,Hummus,41 Legumes,Proteins
2342879,8412,"Dips, gravies, other sauces",Black bean sauce,41205100,Black bean sauce,41 Legumes,Proteins
2343023,8412,"Dips, gravies, other sauces",Peanut sauce,42204050,Peanut sauce,"42 Nuts, nut butters, nut mixtures",Proteins
2343024,8412,"Dips, gravies, other sauces","Gravy, vegetarian",42204100,Gravy,"42 Nuts, nut butters, nut mixtures",Proteins
2344801,8412,"Dips, gravies, other sauces","Guacamole, NFS",63409010,Guacamole,63 Other fruits,Fruits
2344802,8412,"Dips, gravies, other sauces",Guacamole with tomatoes,63409015,Guacamole with tomatoes,63 Other fruits,Fruits
2345255,8412,"Dips, gravies, other sauces","Enchilada sauce, green",74402260,Enchilada sauce,"74 Tomatoes, tomato mixtures",Vegetables
2345256,8412,"Dips, gravies, other sauces","Salsa verde or salsa, green",74402350,Salsa verde or salsa,"74 Tomatoes, tomato mixtures",Vegetables
2345576,8412,"Dips, gravies, other sauces",Eggplant dip,75412030,Eggplant dip,75 Other vegetables,Vegetables
2345726,8412,"Dips, gravies, other sauces",Garlic sauce,81301000,Garlic sauce,81 Fats,Other
2345727,8412,"Dips, gravies, other sauces",Lemon-butter sauce,81301020,Lemon-butter sauce,81 Fats,Other
2345728,8412,"Dips, gravies, other sauces",Hollandaise sauce,81302010,Hollandaise sauce,81 Fats,Other
2345732,8412,"Dips, gravies, other sauces",Pesto sauce,81302070,Pesto sauce,81 Fats,Other
2345734,8412,"Dips, gravies, other sauces","Sauce, NFS",81308200,Sauce,81 Fats,Other
2345735,8412,"Dips, gravies, other sauces",Curry sauce,81312100,Curry sauce,81 Fats,Other
2340831,5802,Ice cream and frozen dairy desserts,"Frozen yogurt, NFS",11459990,Frozen yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340832,5802,Ice cream and frozen dairy desserts,"Frozen yogurt, vanilla",11460000,Frozen yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340833,5802,Ice cream and frozen dairy desserts,"Frozen yogurt, chocolate",11460100,Frozen yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340834,5802,Ice cream and frozen dairy desserts,"Frozen yogurt, soft serve, vanilla",11460500,Frozen yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340835,5802,Ice cream and frozen dairy desserts,"Frozen yogurt, soft serve, chocolate",11460510,Frozen yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340836,5802,Ice cream and frozen dairy desserts,Frozen yogurt sandwich,11461200,Frozen yogurt sandwich,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340837,5802,Ice cream and frozen dairy desserts,"Frozen yogurt bar, vanilla",11461210,Frozen yogurt bar,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340838,5802,Ice cream and frozen dairy desserts,"Frozen yogurt bar, chocolate",11461220,Frozen yogurt bar,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340839,5802,Ice cream and frozen dairy desserts,"Frozen yogurt cone, chocolate",11461250,Frozen yogurt cone,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340840,5802,Ice cream and frozen dairy desserts,"Frozen yogurt cone, vanilla",11461260,Frozen yogurt cone,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340841,5802,Ice cream and frozen dairy desserts,"Frozen yogurt cone, vanilla, waffle cone",11461300,Frozen yogurt cone,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
