lower_short_description,food_code
biscayne codfish,27351040
gumbo with rice,27363000
crab salad,27450010
lobster salad,27450020
salmon salad,27450030
tuna salad,27450060
shrimp salad,27450070
seafood salad,27450080
tuna salad with cheese,27450090
tuna salad with egg,27450100
shrimp garden salad,27450110
crab salad made with imitation crab,27450130
seafood garden salad with seafood,27450180
oysters rockefeller,27450250
lomi salmon,27450310
shrimp shish kabob with vegetables,27450430
tuna casserole with vegetables and mushroom sauce,27450510
fish and vegetables excluding carrots,27450710
fish shish kabob with vegetables,27450760
fried fish with sauce,27451010
lobster with sauce,27451030
octopus salad,27451060
codfish salad,27451070
lau lau,27460100
gumbo,27464000
fish in lemon-butter sauce with starch item,28150510
shrimp and vegetables in sauce with noodles,28154010
lobster gumbo,28355260
shrimp gumbo,28355440
bacalaitos fritos,58117410
fish sauce,27150210
oyster sauce,28520100
miso sauce,41420100
miso,41420110
natto,41420200
hoisin sauce,41420250
soy sauce,41420300
teriyaki sauce,41420400
biryani with meat,27213010
biryani with chicken,27243100
paella with seafood,27350020
paella,27360090
jambalaya with meat and rice,27363100
cake made with glutinous rice,55701000
idli,55702000
cake made with glutinous rice and dried beans,55703000
bibimbap,58150100
dukboki or tteokbokki,58150520
rice with chicken,58155110
paella with meat,58155310
seafood paella,58155320
stewed rice,58155810
rice with squid,58155910
fried rice,58156110
rice with vienna sausage,58156210
rice with spanish sausage,58156310
rice with onions,58156410
rice with stewed beans,58156710
congee,58157300
biryani with vegetables,58160000
rice,58160400
grape leaves stuffed with rice,58161510
rice croquette,58161710
rice pilaf,58162310
dirty rice,58163130
flavored rice mixture,58163310
flavored rice mixture with cheese,58163330
flavored rice,58163360
flavored rice and pasta mixture,58163380
spanish rice,58163405
spanish rice with ground beef,58163450
rice dressing,58163510
rice with raisins,58164110
rice dessert or salad with fruit,58164210
beef chow mein or chop suey with noodles,27313110
pork chow mein or chop suey with noodles,27320310
chicken or turkey chow mein or chop suey with noodles,27343910
shrimp chow mein or chop suey with noodles,27350050
beef chow mein or chop suey,27415150
pork chow mein or chop suey,27420390
chicken or turkey chow mein or chop suey,27446100
shrimp chow mein or chop suey,27450040
chow fun noodles with meat and vegetables,58135110
chow fun noodles with vegetables,58135120
lo mein,58136110
pad thai,58137210
pad thai with chicken,58137230
pad thai with seafood,58137240
pad thai with meat,58137250
yat ga mein with meat,58147520
beef taco filling: beef,27416300
taco or tostada salad with meat,58101930
taco or tostada salad with chicken,58101935
taco or tostada salad,58101940
taco or tostada salad with meat and sour cream,58101945
taco or tostada salad with chicken and sour cream,58101950
taco,58102000
burrito,58102300
greens with ham or pork,27420080
beet greens,72101100
chard,72104100
collards,72107100
cress,72110100
dandelion greens,72113100
escarole,72116220
greens,72118211
kale,72119190
lambsquarter,72120220
mustard greens,72122100
poke greens,72123020
taro leaves,72126001
turnip greens,72128211
turrnip greens,72128220
watercress,72130100
bitter melon,72132201
sweet potato,72133201
sandwich,27500050
sandwich wrap,27500300
corned beef sandwich on white,27510910
corned beef sandwich on wheat,27510930
reuben sandwich,27510950
roast beef sandwich on white,27513010
roast beef sandwich on wheat,27513055
french dip sandwich,27513070
ham sandwich on white,27520210
ham sandwich on wheat,27520230
ham sandwich or sub,27520255
ham sandwich wrap,27520270
ham salad sandwich on white,27520340
ham salad sandwich on wheat,27520345
turkey sandwich on white,27540010
turkey sandwich on wheat,27540030
turkey sandwich or sub,27540050
turkey sandwich wrap,27540070
chicken deli sandwich or sub,27540080
club sandwich on white,27540123
club sandwich on wheat,27540125
club sandwich or sub,27540127
bologna sandwich on white,27560130
bologna sandwich on wheat,27560150
salami sandwich on white,27560520
salami sandwich on wheat,27560540
italian sandwich on white,27560610
italian sandwich on wheat,27560620
italian sandwich or sub,27560630
italian sausage sandwich on wheat,27560715
spam sandwich,27560920
multiple meat sandwich on white,27580010
multiple meat sandwich on wheat,27580030
multiple meat sandwich or sub,27580050
multiple meat sandwich wrap,27580070
turkey and ham sandwich on white,27580110
turkey and ham sandwich on wheat,27580130
turkey and ham sandwich or sub,27580150
barbecue sandwich,27500400
sloppy joe sandwich,27510100
barbecue beef sandwich,27510130
meatball sandwich or sub,27510700
meatloaf sandwich,27510702
steak sandwich or sub on white,27514010
steak sandwich or sub on wheat,27514020
cheese steak sandwich or sub on white,27514030
cheese steak sandwich or sub on wheat,27514040
gyro sandwich,27516010
cuban sandwich,27520410
barbecue rib sandwich,27520500
barbecue pork sandwich,27520510
pork sandwich,27520520
barbecue chicken sandwich,27540130
cheeseburger slider,27510140
cheeseburger,27510155
cheeseburger (burger king),27510170
whopper jr with cheese (burger king),27510171
cheeseburger (mcdonalds),27510172
quarter pounder (mcdonalds),27510229
whopper with cheese (burger king),27510231
quarter pounder with cheese (mcdonalds),27510232
double cheeseburger,27510254
double cheeseburger (burger king),27510386
double cheeseburger (mcdonalds),27510387
mcdouble (mcdonalds),27510388
big mac (mcdonalds),27510389
hamburger slider,27510501
hamburger,27510521
hamburger (burger king),27510551
whopper jr (burger king),27510552
hamburger (mcdonalds),27510553
whopper (burger king),27510615
double hamburger,27510649
chiliburger,27510705
hamburger wrap sandwich,27517000
turkey or chicken burger,27545100
chicken salad sandwich on white,27540120
chicken salad sandwich on wheat,27540121
chicken salad sandwich wrap,27540122
chicken fillet sandwich,27540132
chicken fillet biscuit,27540145
chicken fillet wrap sandwich,27540210
fish sandwich,27550000
crab cake sandwich,27550110
salmon cake sandwich,27550120
fried seafood sandwich,27550150
fish wrap sandwich,27550425
sardine sandwich,27550510
tuna salad sandwich on white,27550720
tuna salad sandwich on wheat,27550735
tuna salad sandwich wrap,27550755
seafood salad sandwich,27550800
corn dog,27560300
pig in a blanket,27560350
italian sausage sandwich on white,27560710
hot dog sandwich,27564000
chili hot dog sandwich,27564440
egg salad sandwich on white,32203010
egg salad sandwich on wheat,32203020
egg sandwich on white bread,34001100
egg sandwich on wheat bread,34001200
