fdc_id,description,short_description,food_code,wweia_food_category,wweia_food_category_description
2340829,"Vegetable dip, yogurt based",Vegetable dip,11440070,8412,"Dips, gravies, other sauces"
2341021,"Dip, NFS",Dip,12350010,8412,"Dips, gravies, other sauces"
2341022,"Chipotle dip, regular",Chipotle dip,12350200,8412,"Dips, gravies, other sauces"
2341023,"Chipotle dip, light",Chipotle dip,12350205,8412,"Dips, gravies, other sauces"
2341024,"Onion dip, regular",Onion dip,12350220,8412,"Dips, gravies, other sauces"
2341025,"Onion dip, light",Onion dip,12350225,8412,"Dips, gravies, other sauces"
2341026,"Ranch dip, regular",Ranch dip,12350230,8412,"Dips, gravies, other sauces"
2341027,"Ranch dip, light",Ranch dip,12350235,8412,"Dips, gravies, other sauces"
2341028,"Spinach dip, regular",Spinach dip,12350240,8412,"Dips, gravies, other sauces"
2341029,"Spinach dip, light",Spinach dip,12350245,8412,"Dips, gravies, other sauces"
2341030,"Vegetable dip, regular",Vegetable dip,12350250,8412,"Dips, gravies, other sauces"
2341031,"Vegetable dip, light",Vegetable dip,12350255,8412,"Dips, gravies, other sauces"
2341106,White sauce or gravy,White sauce or gravy,13411000,8412,"Dips, gravies, other sauces"
2341186,Artichoke dip,Artichoke dip,14620110,8412,"Dips, gravies, other sauces"
2341187,Spinach and artichoke dip,Spinach and artichoke dip,14620115,8412,"Dips, gravies, other sauces"
2341188,Seafood dip,Seafood dip,14620130,8412,"Dips, gravies, other sauces"
2341189,Cheese dip with chili pepper,Cheese dip with chili pepper,14620150,8412,"Dips, gravies, other sauces"
2341190,Cheese dip,Cheese dip,14620200,8412,"Dips, gravies, other sauces"
2341195,Cheese fondue,Cheese fondue,14630100,8412,"Dips, gravies, other sauces"
2341197,Welsh rarebit,Welsh rarebit,14630300,8412,"Dips, gravies, other sauces"
2341212,Cheese sauce,Cheese sauce,14650100,8412,"Dips, gravies, other sauces"
2341213,Alfredo sauce,Alfredo sauce,14650160,8412,"Dips, gravies, other sauces"
2341214,Alfredo sauce with added vegetables,Alfredo sauce with added vegetables,14650165,8412,"Dips, gravies, other sauces"
2341215,Alfredo sauce with meat,Alfredo sauce with meat,14650170,8412,"Dips, gravies, other sauces"
2341216,Alfredo sauce with meat and added vegetables,Alfredo sauce with meat and added vegetables,14650175,8412,"Dips, gravies, other sauces"
2341217,Alfredo sauce with poultry,Alfredo sauce with poultry,14650180,8412,"Dips, gravies, other sauces"
2341218,Alfredo sauce with poultry and added vegetables,Alfredo sauce with poultry and added vegetables,14650185,8412,"Dips, gravies, other sauces"
2341219,Alfredo sauce with seafood,Alfredo sauce with seafood,14650190,8412,"Dips, gravies, other sauces"
2341220,Alfredo sauce with seafood and added vegetables,Alfredo sauce with seafood and added vegetables,14650195,8412,"Dips, gravies, other sauces"
2342619,"Gravy, poultry",Gravy,28500000,8412,"Dips, gravies, other sauces"
2342620,"Gravy, beef",Gravy,28500040,8412,"Dips, gravies, other sauces"
2342621,"Gravy, beef, fat free",Gravy,28501010,8412,"Dips, gravies, other sauces"
2342622,"Gravy, poultry, fat free",Gravy,28501110,8412,"Dips, gravies, other sauces"
2342623,"Gravy, made with soy sauce",Gravy,28520000,8412,"Dips, gravies, other sauces"
2342624,"Gravy, NFS",Gravy,28520010,8412,"Dips, gravies, other sauces"
2342626,Mole sauce,Mole sauce,28522000,8412,"Dips, gravies, other sauces"
2342875,"Bean dip, made with refried beans",Bean dip,41205050,8412,"Dips, gravies, other sauces"
2342876,Layer dip,Layer dip,41205055,8412,"Dips, gravies, other sauces"
2342877,"Hummus, plain",Hummus,41205070,8412,"Dips, gravies, other sauces"
2342878,"Hummus, flavored",Hummus,41205075,8412,"Dips, gravies, other sauces"
